Tyler Sequin,Stars,15,11,26,18.8
Patric Hornqvist,Penguins,10,13,23,14.1
Sidney Crosby,Penguins,8,18,26,13.6
Evgeni Malkin,Penguins,8,15,23,15.7
Phil Kessel,Maple Leafs,11,12,23,15.1
Steven Stamkos,Lightning,14,10,24,18.2
Jakub Voracek,Flyers,7,22,29,10.6
Claude Giroux,Flyers,6,18,24,6.7
Vladimir Tarasenko,Blues,12,11,23,15.0
Ryan Johansen,Blue Jackets,7,16,23,13.7
